============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Po (84)   Ion Mass= 217.9830
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer1
  Layer # 1 - Bottom Depth=100000.E-01 A
  Layer # 1 - Density =0003.0589 g/cm3
  Layer # 1 -  100 % of Xe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000249   2.3563E+02  6.3254E+01 -2.0118E+02
0000250   6.5600E+02  3.2854E+02  3.1277E+01
0000251   9.0499E+02  5.7374E+01  7.0729E+01
0000252   6.8848E+02  3.4888E+02 -4.1793E+02
0000253   1.3222E+03 -4.0546E+02 -8.4889E+01
0000254   5.5453E+02  1.3887E+02  3.7823E+02
0000255   4.5423E+02  1.0178E+02 -8.1190E+01
0000256   8.1639E+02 -1.5803E+02 -6.2458E+02
0000257   2.6974E+02  3.9492E+02  9.5713E+01
0000258   2.8352E+02 -1.9570E+02 -6.5383E+01
0000259   5.3469E+02 -3.7431E+01 -3.2127E+02
0000260   8.7434E+02  4.5347E+02 -2.1150E+00
0000261   6.4348E+02 -1.5910E+02 -8.8893E+01
0000262   3.4491E+02 -2.0489E+02 -2.0118E+01
0000263   6.4925E+02  1.8274E+01 -6.3050E+01
0000264   2.7043E+02  2.1168E+02 -2.5461E+02
0000265   7.6408E+02 -2.5198E+02 -3.2382E+02
0000266   3.8955E+02  3.1744E+02  2.3027E+02
0000267   3.1656E+02 -2.0485E+02 -1.0606E+02
0000268   3.2454E+02  8.9127E+01 -3.0288E+02
0000269   3.9681E+02  8.0851E+01 -8.7713E+01
0000270   3.4011E+02  1.0633E+02  7.4124E+01
0000271   9.9053E+02 -4.9081E+02  3.6695E+01
0000272   4.8273E+02  2.4566E+02  1.1753E+02
0000273   7.5036E+02  6.4609E+02 -5.9149E+02
0000274   8.7442E+02  2.4710E+02  2.8763E+02
0000275   2.9525E+02  1.3893E+02  1.1171E+02
0000276   2.3544E+02 -5.6264E+01  9.5117E+01
0000277   8.2218E+02  2.9380E+02 -6.5463E+01
0000278   7.0495E+02  2.1598E+02 -2.8753E+02
0000279   6.7959E+02 -3.8199E+01  2.2922E+02
0000280   1.3257E+02  4.6669E+02 -1.2654E+02
0000281   3.6272E+02  2.4033E+02 -9.4081E+01
0000282   3.9461E+02  5.3941E+01 -1.5925E+02
0000283   6.8597E+02 -2.2518E+02  2.9689E+02
0000284   7.6057E+02 -3.4334E+01 -3.9438E+02
0000285   2.0259E+02  1.5046E+02  1.1770E+01
0000286   6.4876E+02 -8.4462E+01 -1.2305E+02
0000287   1.6661E+02 -2.1472E+02 -2.9164E+02
0000288   4.2453E+02 -1.2615E+02 -8.8856E+01
0000289   4.0451E+02 -1.4612E+02 -8.5337E+01
0000290   4.9220E+02  3.6350E+02  2.8606E+02
0000291   9.8817E+02 -1.0514E+02 -3.2897E+02
0000292   4.0744E+02 -1.0694E+02  8.9333E+01
0000293   7.0049E+02 -1.8244E+02 -1.7183E+02
0000294   5.2172E+02  1.3301E+02 -3.0979E+01
0000295   9.5718E+02 -2.3185E+02 -2.2450E+02
0000296   8.3162E+02  3.6560E+02  2.4691E+02
0000297   3.3382E+02  8.4652E+00 -3.9484E+00
0000298   4.4727E+02 -1.2949E+02  1.5727E+02
0000299   7.8128E+02  3.0969E+01  1.5569E+02
0000300   6.5632E+02  8.7145E+01  3.3628E+02
0000301   3.0357E+02 -5.7701E+02 -1.1326E+02
0000302   6.8497E+02  2.3349E+02  4.8968E+01
0000303   7.6030E+02 -5.6539E+02 -2.2703E+02
0000304   9.0397E+02  3.8228E+00 -8.1536E+00
0000305   5.0557E+02  2.3135E+02  1.3968E+02
0000306   6.7143E+02  1.7967E+02  2.3531E+02
0000307   4.8475E+02  5.3834E+00 -1.9659E+02
0000308   6.4604E+02 -1.8156E+02 -2.5575E+02
0000309   7.0152E+02  1.4466E+02  1.6629E+02
0000310   2.7548E+02  3.0815E+02  9.0721E+01
0000311   6.6368E+02 -1.9419E+02 -1.1417E+02
0000312   7.0519E+02 -2.4590E+02  1.1406E+02
0000313   2.0809E+02  1.2362E+02  3.1169E+02
0000314   8.1257E+02 -1.2912E+01 -1.1504E+02
0000315   8.7679E+02 -2.8482E+02 -1.5879E+01
0000316   4.7508E+02  9.7845E+01 -2.5569E+00
0000317   7.4626E+02 -4.5113E+02 -3.9770E+02
0000318   1.0534E+03 -1.0649E+02 -1.0473E+02
0000319   9.0559E+02 -3.5983E+01 -2.2675E+02
0000320   5.9945E+02  2.5752E+01  1.9343E+02
0000321   5.8526E+02  2.2372E+02  2.2104E+02
0000322   1.3760E+03  5.1377E+02 -1.7551E+01
0000323   8.2545E+02 -1.4524E+02  3.1703E+02
0000324   8.1317E+02  2.5190E+02 -6.4713E+01
0000325   5.4228E+02  1.9066E+00  1.9307E+01
0000326   4.0990E+02 -1.0132E+02 -2.6044E+01
0000327   1.0858E+03 -2.0568E+02  4.2998E+02
0000328   3.6667E+02 -2.9420E+02  1.9077E+02
0000329   7.9796E+02 -1.3346E+02 -1.1862E+02
